,Date,Hi/Lo,Precip,Forecast
0,Sun 1/1,28°/15°,0 mm,
1,Mon 1/2,28°/17°,0 mm,
2,Tue 1/3,30°/16°,0 mm,
3,Wed 1/4,29°/16°,0 mm,
4,Thu 1/5,29°/16°,0 mm,
5,Fri 1/6,29°/16°,0 mm,
6,Sat 1/7,28°/16°,0 mm,
7,Sun 1/8,29°/16°,0 mm,
8,Mon 1/9,28°/15°,0 mm,
9,Tue 1/10,29°/16°,0 mm,
10,Wed 1/11,29°/17°,0 mm,
11,Thu 1/12,28°/16°,0 mm,
12,Fri 1/13,28°/17°,0 mm,
13,Sat 1/14,27°/17°,0 mm,
14,Sun 1/15,28°/16°,0 mm,
15,Mon 1/16,28°/16°,0 mm,
16,Tue 1/17,29°/15°,0 mm,
17,Wed 1/18,28°/14°,0 mm,
18,Thu 1/19,28°/16°,0 mm,
19,Fri 1/20,29°/15°,0 mm,
20,Sat 1/21,25°/18°,0 mm,
21,Sun 1/22,30°/17°,0 mm,
22,Mon 1/23,30°/16°,0 mm,
23,Tue 1/24,30°/16°,0 mm,
24,Wed 1/25,29°/17°,0 mm,
25,Thu 1/26,26°/18°,0 mm,
26,Fri 1/27,25°/20°,0 mm,
27,Sat 1/28,28°/20°,0 mm,
28,Sun 1/29,30°/19°,0 mm,
29,Mon 1/30,32°/18°,0 mm,
30,Tue 1/31,32°/18°,0 mm,
31,Wed 2/1,32°/16°,0 mm,
32,Thu 2/2,32°/16°,0 mm,
33,Fri 2/3,30°/17°,0 mm,
34,Sat 2/4,29°/17°,0 mm,
35,Sun 2/5,31°/16°,0 mm,
36,Mon 2/6,31°/16°,0 mm,
37,Tue 2/7,32°/16°,0 mm,
38,Wed 2/8,32°/17°,0 mm,
39,Thu 2/9,32°/16°,0 mm,
40,Fri 2/10,33°/16°,0 mm,
41,Sat 2/11,31°/16°,0 mm,
42,Sun 2/12,30°/15°,0 mm,
43,Mon 2/13,29°/16°,0 mm,
44,Tue 2/14,29°/17°,0 mm,
45,Wed 2/15,30°/17°,0 mm,
46,Thu 2/16,30°/16°,0 mm,
47,Fri 2/17,29°/16°,0 mm,
48,Sat 2/18,31°/16°,0 mm,
49,Sun 2/19,32°/17°,0 mm,
50,Mon 2/20,33°/18°,0 mm,
51,Tue 2/21,35°/19°,0 mm,
52,Wed 2/22,35°/19°,0 mm,
53,Thu 2/23,35°/19°,0 mm,
54,Fri 2/24,36°/20°,0 mm,
55,Sat 2/25,35°/19°,0 mm,
56,Sun 2/26,33°/20°,0 mm,
57,Mon 2/27,31°/19°,0 mm,
58,Tue 2/28,33°/17°,0 mm,
59,Wed 3/1,32°/17°,0 mm,
60,Thu 3/2,32°/16°,0 mm,
61,Fri 3/3,33°/18°,0 mm,
62,Sat 3/4,33°/22°,0 mm,
